Hourly Report for WAWP
STN YYYYMMDD GG QFE36   QFF36   TEMP36   DEWP36   RH36   WD36   WS36   WD36   WS36   RA36   
xxx                                                       10     10     60     60           
                hPa     hPa     degC     degC     %      deg    kt     deg    kt     mm     
000 20260615 23 10114   10129    228      217      94    134      1    138      2        0  
000 20260616 00 10119   10134    248      226      88    137      2    110      2        0  
000 20260616 01 10121   10136    278      220      71    165      2    118      2        0  
000 20260616 02 10120   10135    291      220      66    102      6    100      5        0  
000 20260616 03 10114   10129    292      225      67    290      3    292      4        0  
000 20260616 04 10106   10121    292      227      68    269      5    289      4        0  
000 20260616 05 10101   10116    295      230      68    285      6    279      6        0  
000 20260616 06 10096   10111    290      235      72    247      6    264      7        0  
000 20260616 07 10093   10108    274      236      80    209      2    176      4        2  
000 20260616 08 10091   10106    265      229      81    308      2    270      5        0  
000 20260616 09 10096   10111    254      235      90    047      3    047      3        0  
000 20260616 10 10104   10119    250      239      93    083      5    056      5        0  
000 20260616 11 10106   10122    242      233      94    046      2    056      3        1  
000 20260616 12 10112   10128    243      232      94    057      2    044      2        0  
000 20260616 13 10117   10133    242      231      93    097      2    067      2        0  
000 20260616 14 10119   10134    237      230      96    117      1    135      1        0  
000 20260616 15 10121   10136    235      227      95    090      3    096      3        0  
000 20260616 16 10118   10134    234      225      95    360      1    108      3        0  
000 20260616 17 10115   10131    228      224      97    360      1    360      1        0  
000 20260616 18 10110   10125    224      220      98    360      1    140      1        0  
000 20260616 19 10106   10121    223      216      96    071      3    109      3        0  
000 20260616 20 10109   10124    218      212      96    133      3    133      2        0  
000 20260616 21 10111   10126    218      210      95    110      4    122      2        0  
000 20260616 22 10113   10129    221      210      93    125      3    105      4        0  
000 20260616 23 10118   10134    222      212      94    113      3    126      3        0  
000 20260617 00 10123   10138    250      217      83    145      4    128      3        0  
000 20260617 01 10125   10140    285      215      66    038      3    087      3        0  
000 20260617 02 10126   10141    300      211      59    029      2    044      3        0  
000 20260617 03 10118   10133    306      217      59    334      5    336      4        0  
000 20260617 04 10112   10127    304      225      63    316      4    328      5        0  
000 20260617 05 10107   10122    291      225      68    311      4    301      4        1  
000 20260617 06 10095   10110    294      233      70    301      5    309      4        0  
000 20260617 07 10091   10106    302      233      67    260      6    271      6        0  
000 20260617 08 10090   10105    297      229      67    263      4    268      5        0  
000 20260617 09 10093   10108    289      225      68    246      2    256      3        0  
000 20260617 10 10097   10112    275      236      80    360      1    215      1        0  
000 20260617 11 10104   10120    252      240      93    360      0    124      1        0  
000 20260617 12 10112   10127    250      238      93    360      1    112      1        0  
000 20260617 13 10117   10132    252      235      90    115      4    114      3        0  
000 20260617 14 10117   10133    258      233      86    096      3    102      3        0  
000 20260617 15 10116   10131    254      234      89    086      3    095      3        0  
000 20260617 16 10113   10128    249      233      91    128      4    078      3        0  
000 20260617 17 10107   10122    244      230      92    065      3    103      3        0  
000 20260617 18 10101   10116    237      226      94    121      3    103      3        0  
000 20260617 19 10099   10114    231      224      96    360      1    360      1        0  
000 20260617 20 10099   10115    226      221      97    147      2    131      1        0  
000 20260617 21 10100   10115    224      218      96    156      1    132      1        0  
000 20260617 22 10104   10119    221      215      96    360      1    135      1        0  
000 20260617 23 10110   10125    233      218      91    174      1    360      1        0  
000 20260618 00 10117   10132    270      226      77    117      1    360      1        0  
000 20260618 01 10118   10133    284      226      71    276      3    286      2        0  
000 20260618 02 10117   10132    292      224      67    295      4    295      3        0  
000 20260618 03 10114   10129    282      228      73    295      3    287      5        0  
000 20260618 04 10107   10122    283      231      74    278      5    287      4        0  
000 20260618 05 10099   10114    298      235      69    248      6    260      5        0  
000 20260618 06 10093   10108    304      235      67    106      7    197      6        0  
000 20260618 07 10088   10103    308      231      64    151      3    123      4        0  
000 20260618 08 10085   10100    310      234      64    142      3    086      4        0  
000 20260618 09 10087   10102    308      230      63    123      2    129      3        0  
000 20260618 10 10091   10106    291      232      71    122      3    110      2        0  
000 20260618 11 10096   10111    266      236      83    148      3    147      2        0  
000 20260618 12 10100   10115    255      232      87    148      2    146      2        0  
000 20260618 13 10105   10120    249      229      89    046      1    077      1        0  
000 20260618 14 10106   10121    244      227      90    089      2    069      2        0  
000 20260618 15 10107   10122    237      226      93    360      0    118      1        0  
000 20260618 16 10104   10119    236      224      93    117      2    153      2        0  
000 20260618 17 10101   10116    233      222      93    130      1    079      1        0  
